frame,wall_seconds,audio_seconds
211,19.413971,19.413333
212,19.508175,19.520000
213,19.597879,19.605333
214,19.690037,19.690667
215,19.782455,19.797333
216,19.883915,19.882667
217,19.972101,19.968000
218,20.064535,20.074667
219,20.158773,20.160000
220,20.250383,20.245333
221,20.342918,20.352000
222,20.434610,20.437333
223,20.523214,20.522667
224,20.613470,20.629333
225,20.705791,20.714667
226,20.798162,20.800000
227,20.889921,20.885333
228,20.982300,20.970667
229,21.076862,21.077333
230,21.172548,21.184000
231,21.267782,21.269333
232,21.358931,21.354667
233,21.451679,21.440000
234,21.542536,21.546667
235,21.633301,21.632000
236,21.719719,21.717333
237,21.812155,21.802667
238,21.904921,21.909333
239,21.993845,21.994667
240,22.080570,22.080000
241,22.172073,22.165333
242,22.262493,22.272000
243,22.353224,22.357333
244,22.443628,22.442667
245,22.532888,22.549333
246,22.626863,22.634667
247,22.717653,22.720000
248,22.809608,22.805333
249,22.900646,22.890667
250,22.987473,22.997333
251,23.076809,23.082667
252,23.167044,23.168000
253,23.252092,23.253333
254,23.342039,23.338667
255,23.426819,23.424000
256,23.519135,23.509333
257,23.609381,23.616000
258,23.702785,23.701333
259,23.794922,23.808000
260,23.884176,23.893333
261,23.972139,23.978667
262,24.065657,24.064000
263,24.157402,24.149333
264,24.247873,24.256000
265,24.333288,24.341333
266,24.429501,24.426667
267,24.523714,24.533333
268,24.613966,24.618667
269,24.708387,24.704000
270,24.799488,24.789333
271,24.898018,24.896000
272,24.988844,24.981333
273,25.079525,25.088000
274,25.177370,25.173333
275,25.265190,25.280000
276,25.357334,25.365333
277,25.453468,25.450667
278,25.551607,25.557333
279,25.643538,25.642667
280,25.737761,25.749333
281,25.831551,25.834667
282,25.923239,25.920000
